# rtt trace, one row per completed round, in order
# clk_hz=200000000 entries=1000000 full=0 saturated=0
cycles,ns
1056,5280
496,2480
511,2555
497,2485
493,2465
493,2465
499,2495
494,2470
493,2465
494,2470
510,2550
493,2465
496,2480
492,2460
497,2485
494,2470
494,2470
495,2475
494,2470
493,2465
493,2465
493,2465
494,2470
495,2475
495,2475
505,2525
494,2470
495,2475
501,2505
493,2465
493,2465
494,2470
493,2465
493,2465
493,2465
494,2470
494,2470
493,2465
494,2470
493,2465
494,2470
493,2465
494,2470
494,2470
495,2475
493,2465
492,2460
511,2555
493,2465
492,2460
495,2475
494,2470
494,2470
492,2460
492,2460
492,2460
494,2470
493,2465
493,2465
494,2470
494,2470
493,2465
510,2550
494,2470
513,2565
494,2470
493,2465
501,2505
493,2465
491,2455
494,2470
493,2465
521,2605
493,2465
495,2475
495,2475
493,2465
493,2465
493,2465
494,2470
495,2475
493,2465
495,2475
495,2475
494,2470
494,2470
492,2460
516,2580
493,2465
493,2465
495,2475
495,2475
492,2460
493,2465
492,2460
492,2460
492,2460
493,2465
495,2475
494,2470
493,2465
492,2460
493,2465
492,2460
494,2470
493,2465
492,2460
493,2465
494,2470
520,2600
494,2470
494,2470
495,2475
492,2460
493,2465
494,2470
494,2470
494,2470
492,2460
492,2460
492,2460
493,2465
495,2475
494,2470
507,2535
493,2465
495,2475
493,2465
501,2505
493,2465
492,2460
493,2465
493,2465
494,2470
492,2460
493,2465
493,2465
493,2465
494,2470
517,2585
494,2470
491,2455
494,2470
496,2480
494,2470
495,2475
495,2475
494,2470
493,2465
496,2480
494,2470
493,2465
493,2465
493,2465
501,2505
493,2465
493,2465
493,2465
494,2470
492,2460
494,2470
496,2480
493,2465
498,2490
493,2465
493,2465
493,2465
493,2465
492,2460
494,2470
495,2475
494,2470
494,2470
491,2455
494,2470
494,2470
506,2530
493,2465
496,2480
493,2465
491,2455
493,2465
495,2475
493,2465
498,2490
494,2470
494,2470
494,2470
493,2465
493,2465
492,2460
493,2465
497,2485
494,2470
494,2470
494,2470
492,2460
495,2475
495,2475
493,2465
509,2545
492,2460
493,2465
493,2465
493,2465
495,2475
495,2475
495,2475
493,2465
494,2470
495,2475
495,2475
494,2470
493,2465
495,2475
513,2565
492,2460
493,2465
494,2470
494,2470
494,2470
494,2470
494,2470
494,2470
494,2470
494,2470
495,2475
494,2470
495,2475
493,2465
493,2465
493,2465
494,2470
494,2470
493,2465
493,2465
494,2470
508,2540
493,2465
495,2475
493,2465
493,2465
495,2475
494,2470
493,2465
495,2475
494,2470
495,2475
495,2475
493,2465
495,2475
494,2470
502,2510
492,2460
493,2465
493,2465
495,2475
493,2465
495,2475
494,2470
494,2470
494,2470
494,2470
492,2460
493,2465
495,2475
493,2465
509,2545
493,2465
493,2465
492,2460
494,2470
494,2470
492,2460
493,2465
495,2475
492,2460
491,2455
492,2460
494,2470
494,2470
494,2470
521,2605
493,2465
492,2460
491,2455
493,2465
493,2465
492,2460
499,2495
494,2470
493,2465
494,2470
493,2465
493,2465
495,2475
494,2470
493,2465
494,2470
493,2465
495,2475
492,2460
492,2460
493,2465
509,2545
494,2470
493,2465
493,2465
493,2465
491,2455
493,2465
493,2465
493,2465
493,2465
493,2465
493,2465
493,2465
492,2460
493,2465
492,2460
496,2480
494,2470
496,2480
493,2465
493,2465
494,2470
493,2465
494,2470
495,2475
493,2465
493,2465
493,2465
492,2460
491,2455
494,2470
522,2610
493,2465
493,2465
493,2465
494,2470
494,2470
494,2470
494,2470
497,2485
493,2465
494,2470
494,2470
494,2470
493,2465
493,2465
500,2500
494,2470
493,2465
494,2470
495,2475
494,2470
493,2465
501,2505
493,2465
493,2465
495,2475
494,2470
493,2465
494,2470
493,2465
494,2470
491,2455
493,2465
494,2470
493,2465
493,2465
494,2470
506,2530
493,2465
492,2460
494,2470
494,2470
493,2465
492,2460
493,2465
493,2465
493,2465
492,2460
493,2465
494,2470
494,2470
494,2470
494,2470
493,2465
493,2465
494,2470
493,2465
493,2465
493,2465
508,2540
494,2470
491,2455
494,2470
494,2470
494,2470
494,2470
493,2465
494,2470
495,2475
493,2465
494,2470
493,2465
492,2460
493,2465
507,2535
493,2465
494,2470
494,2470
492,2460
494,2470
494,2470
494,2470
496,2480
494,2470
493,2465
494,2470
492,2460
492,2460
493,2465
495,2475
496,2480
496,2480
494,2470
493,2465
492,2460
494,2470
513,2565
494,2470
494,2470
494,2470
494,2470
493,2465
493,2465
493,2465
492,2460
494,2470
494,2470
496,2480
492,2460
491,2455
493,2465
509,2545
494,2470
