# rtt trace, one row per completed round, in order
# clk_hz=200000000 entries=10000 full=0 saturated=1
cycles,ns
65535,327675
505,2525
548,2740
495,2475
500,2500
492,2460
524,2620
502,2510
548,2740
522,2610
526,2630
524,2620
518,2590
501,2505
499,2495
495,2475
494,2470
496,2480
502,2510
496,2480
501,2505
495,2475
496,2480
499,2495
494,2470
500,2500
498,2490
498,2490
518,2590
500,2500
495,2475
499,2495
524,2620
496,2480
496,2480
497,2485
493,2465
496,2480
493,2465
499,2495
495,2475
494,2470
493,2465
527,2635
499,2495
498,2490
493,2465
500,2500
495,2475
501,2505
500,2500
494,2470
498,2490
498,2490
499,2495
499,2495
493,2465
518,2590
498,2490
498,2490
495,2475
498,2490
495,2475
500,2500
499,2495
499,2495
501,2505
495,2475
494,2470
498,2490
494,2470
521,2605
499,2495
493,2465
524,2620
493,2465
498,2490
497,2485
499,2495
495,2475
498,2490
499,2495
495,2475
500,2500
499,2495
499,2495
500,2500
498,2490
498,2490
495,2475
500,2500
494,2470
493,2465
492,2460
499,2495
497,2485
500,2500
518,2590
500,2500
495,2475
497,2485
520,2600
525,2625
499,2495
499,2495
498,2490
495,2475
503,2515
498,2490
497,2485
499,2495
498,2490
495,2475
499,2495
495,2475
500,2500
498,2490
497,2485
494,2470
499,2495
498,2490
501,2505
493,2465
500,2500
501,2505
498,2490
499,2495
500,2500
504,2520
500,2500
530,2650
499,2495
497,2485
496,2480
501,2505
500,2500
493,2465
495,2475
494,2470
499,2495
499,2495
492,2460
499,2495
512,2560
494,2470
501,2505
494,2470
497,2485
497,2485
494,2470
494,2470
499,2495
494,2470
497,2485
501,2505
496,2480
498,2490
497,2485
495,2475
494,2470
498,2490
497,2485
499,2495
524,2620
493,2465
494,2470
500,2500
498,2490
500,2500
497,2485
493,2465
498,2490
506,2530
492,2460
494,2470
500,2500
500,2500
496,2480
500,2500
516,2580
496,2480
498,2490
499,2495
493,2465
495,2475
497,2485
495,2475
496,2480
499,2495
498,2490
501,2505
500,2500
504,2520
496,2480
494,2470
498,2490
521,2605
498,2490
498,2490
497,2485
525,2625
495,2475
497,2485
500,2500
510,2550
496,2480
494,2470
493,2465
496,2480
500,2500
499,2495
499,2495
492,2460
500,2500
497,2485
497,2485
499,2495
495,2475
501,2505
500,2500
493,2465
497,2485
499,2495
493,2465
499,2495
497,2485
501,2505
493,2465
499,2495
527,2635
518,2590
499,2495
499,2495
498,2490
500,2500
495,2475
497,2485
498,2490
498,2490
493,2465
495,2475
499,2495
507,2535
499,2495
494,2470
491,2455
499,2495
499,2495
500,2500
500,2500
495,2475
497,2485
500,2500
497,2485
493,2465
495,2475
498,2490
493,2465
500,2500
494,2470
493,2465
498,2490
497,2485
494,2470
522,2610
497,2485
522,2610
497,2485
496,2480
498,2490
506,2530
494,2470
500,2500
499,2495
510,2550
498,2490
493,2465
497,2485
497,2485
492,2460
500,2500
500,2500
495,2475
498,2490
498,2490
495,2475
495,2475
498,2490
494,2470
493,2465
499,2495
498,2490
496,2480
493,2465
498,2490
493,2465
494,2470
493,2465
499,2495
521,2605
499,2495
503,2515
494,2470
497,2485
498,2490
499,2495
498,2490
494,2470
498,2490
499,2495
495,2475
494,2470
499,2495
509,2545
498,2490
497,2485
518,2590
505,2525
495,2475
499,2495
509,2545
497,2485
498,2490
495,2475
497,2485
497,2485
498,2490
498,2490
493,2465
498,2490
515,2575
523,2615
522,2610
495,2475
498,2490
496,2480
494,2470
495,2475
494,2470
499,2495
492,2460
497,2485
492,2460
499,2495
499,2495
499,2495
497,2485
499,2495
516,2580
493,2465
499,2495
504,2520
500,2500
495,2475
494,2470
498,2490
497,2485
497,2485
494,2470
498,2490
499,2495
494,2470
500,2500
499,2495
499,2495
524,2620
498,2490
500,2500
493,2465
493,2465
493,2465
498,2490
492,2460
494,2470
497,2485
492,2460
495,2475
493,2465
498,2490
494,2470
493,2465
492,2460
498,2490
495,2475
500,2500
497,2485
499,2495
498,2490
499,2495
497,2485
493,2465
500,2500
498,2490
501,2505
497,2485
499,2495
520,2600
522,2610
500,2500
500,2500
498,2490
493,2465
499,2495
500,2500
494,2470
497,2485
496,2480
495,2475
501,2505
498,2490
498,2490
499,2495
496,2480
494,2470
498,2490
497,2485
500,2500
493,2465
498,2490
497,2485
497,2485
498,2490
498,2490
495,2475
499,2495
499,2495
503,2515
494,2470
499,2495
494,2470
494,2470
499,2495
498,2490
500,2500
499,2495
493,2465
499,2495
498,2490
495,2475
494,2470
498,2490
499,2495
497,2485
511,2555
498,2490
497,2485
494,2470
498,2490
497,2485
500,2500
493,2465
493,2465
498,2490
496,2480
494,2470
499,2495
521,2605
495,2475
548,2740
497,2485
500,2500
520,2600
499,2495
499,2495
497,2485
494,2470
499,2495
492,2460
498,2490
496,2480
494,2470
497,2485
505,2525
498,2490
513,2565
494,2470
503,2515
498,2490
494,2470
497,2485
495,2475
499,2495
495,2475
493,2465
498,2490
498,2490
497,2485
497,2485
521,2605
494,2470
522,2610
493,2465
498,2490
496,2480
499,2495
493,2465
498,2490
498,2490
500,2500
494,2470
497,2485
498,2490
499,2495
498,2490
495,2475
500,2500
500,2500
498,2490
492,2460
492,2460
497,2485
499,2495
500,2500
507,2535
498,2490
495,2475
497,2485
496,2480
522,2610
529,2645
498,2490
497,2485
498,2490
498,2490
492,2460
496,2480
494,2470
498,2490
494,2470
497,2485
495,2475
492,2460
494,2470
498,2490
498,2490
492,2460
500,2500
494,2470
499,2495
498,2490
499,2495
499,2495
497,2485
498,2490
494,2470
497,2485
493,2465
495,2475
497,2485
519,2595
504,2520
492,2460
498,2490
498,2490
500,2500
498,2490
497,2485
497,2485
499,2495
497,2485
499,2495
493,2465
492,2460
498,2490
501,2505
497,2485
498,2490
495,2475
493,2465
498,2490
498,2490
495,2475
496,2480
498,2490
497,2485
498,2490
498,2490
494,2470
520,2600
497,2485
504,2520
496,2480
494,2470
521,2605
499,2495
493,2465
494,2470
500,2500
497,2485
498,2490
499,2495
494,2470
498,2490
497,2485
500,2500
499,2495
499,2495
497,2485
499,2495
494,2470
493,2465
499,2495
499,2495
515,2575
498,2490
518,2590
499,2495
498,2490
499,2495
498,2490
497,2485
502,2510
499,2495
495,2475
498,2490
493,2465
500,2500
498,2490
499,2495
493,2465
498,2490
493,2465
499,2495
499,2495
494,2470
502,2510
495,2475
498,2490
496,2480
496,2480
493,2465
492,2460
499,2495
499,2495
499,2495
499,2495
498,2490
497,2485
493,2465
509,2545
543,2715
493,2465
498,2490
498,2490
493,2465
497,2485
499,2495
498,2490
493,2465
499,2495
493,2465
498,2490
493,2465
497,2485
517,2585
498,2490
500,2500
492,2460
518,2590
497,2485
497,2485
497,2485
493,2465
499,2495
499,2495
497,2485
495,2475
498,2490
499,2495
520,2600
520,2600
498,2490
498,2490
501,2505
499,2495
496,2480
497,2485
521,2605
494,2470
498,2490
500,2500
500,2500
494,2470
497,2485
491,2455
499,2495
497,2485
500,2500
495,2475
498,2490
499,2495
507,2535
499,2495
497,2485
498,2490
498,2490
494,2470
520,2600
551,2755
498,2490
498,2490
498,2490
499,2495
495,2475
500,2500
498,2490
501,2505
493,2465
508,2540
496,2480
494,2470
498,2490
496,2480
499,2495
498,2490
498,2490
498,2490
498,2490
494,2470
497,2485
495,2475
499,2495
497,2485
501,2505
496,2480
495,2475
498,2490
523,2615
493,2465
499,2495
499,2495
503,2515
493,2465
497,2485
498,2490
499,2495
494,2470
500,2500
494,2470
498,2490
498,2490
497,2485
493,2465
498,2490
500,2500
496,2480
494,2470
494,2470
498,2490
497,2485
498,2490
497,2485
500,2500
514,2570
514,2570
494,2470
498,2490
521,2605
544,2720
500,2500
498,2490
495,2475
493,2465
495,2475
516,2580
498,2490
500,2500
494,2470
494,2470
498,2490
494,2470
494,2470
492,2460
498,2490
504,2520
495,2475
499,2495
497,2485
500,2500
493,2465
493,2465
499,2495
498,2490
493,2465
494,2470
500,2500
500,2500
495,2475
498,2490
494,2470
494,2470
497,2485
519,2595
564,2820
493,2465
494,2470
497,2485
495,2475
497,2485
499,2495
498,2490
494,2470
499,2495
500,2500
493,2465
496,2480
498,2490
498,2490
494,2470
499,2495
494,2470
493,2465
499,2495
494,2470
498,2490
497,2485
494,2470
498,2490
500,2500
493,2465
497,2485
494,2470
499,2495
520,2600
544,2720
515,2575
498,2490
499,2495
508,2540
497,2485
497,2485
493,2465
506,2530
499,2495
499,2495
498,2490
498,2490
492,2460
500,2500
497,2485
498,2490
498,2490
496,2480
498,2490
497,2485
497,2485
500,2500
500,2500
498,2490
497,2485
522,2610
500,2500
492,2460
491,2455
518,2590
493,2465
498,2490
498,2490
495,2475
498,2490
497,2485
497,2485
500,2500
497,2485
498,2490
498,2490
520,2600
498,2490
499,2495
501,2505
496,2480
493,2465
498,2490
497,2485
498,2490
497,2485
494,2470
497,2485
500,2500
494,2470
494,2470
523,2615
493,2465
494,2470
526,2630
496,2480
494,2470
498,2490
493,2465
499,2495
498,2490
500,2500
497,2485
497,2485
499,2495
521,2605
497,2485
498,2490
494,2470
495,2475
496,2480
493,2465
500,2500
493,2465
499,2495
499,2495
499,2495
497,2485
498,2490
534,2670
495,2475
498,2490
499,2495
494,2470
498,2490
499,2495
497,2485
498,2490
503,2515
499,2495
