# rtt trace, one row per completed round, in order
# clk_hz=200000000 entries=10000 full=0 saturated=0
cycles,ns
1056,5280
521,2605
494,2470
519,2595
499,2495
494,2470
524,2620
498,2490
520,2600
508,2540
498,2490
501,2505
519,2595
509,2545
521,2605
497,2485
500,2500
529,2645
497,2485
492,2460
498,2490
559,2795
495,2475
540,2700
565,2825
498,2490
496,2480
547,2735
545,2725
510,2550
496,2480
494,2470
497,2485
498,2490
499,2495
492,2460
499,2495
498,2490
495,2475
495,2475
497,2485
493,2465
501,2505
500,2500
499,2495
498,2490
500,2500
498,2490
492,2460
499,2495
493,2465
500,2500
499,2495
520,2600
498,2490
494,2470
497,2485
496,2480
508,2540
499,2495
500,2500
496,2480
494,2470
500,2500
502,2510
510,2550
498,2490
496,2480
498,2490
501,2505
501,2505
500,2500
496,2480
498,2490
497,2485
492,2460
494,2470
493,2465
501,2505
494,2470
498,2490
500,2500
497,2485
565,2825
498,2490
499,2495
494,2470
531,2655
492,2460
496,2480
522,2610
494,2470
498,2490
494,2470
499,2495
500,2500
499,2495
496,2480
491,2455
498,2490
493,2465
522,2610
500,2500
495,2475
498,2490
496,2480
496,2480
498,2490
497,2485
495,2475
499,2495
495,2475
520,2600
493,2465
498,2490
493,2465
498,2490
501,2505
547,2735
500,2500
516,2580
499,2495
496,2480
498,2490
497,2485
502,2510
501,2505
495,2475
504,2520
500,2500
498,2490
499,2495
495,2475
496,2480
506,2530
498,2490
498,2490
507,2535
496,2480
493,2465
498,2490
495,2475
500,2500
501,2505
496,2480
496,2480
512,2560
492,2460
498,2490
520,2600
499,2495
498,2490
495,2475
496,2480
496,2480
499,2495
495,2475
500,2500
500,2500
502,2510
494,2470
498,2490
497,2485
497,2485
492,2460
498,2490
501,2505
499,2495
499,2495
498,2490
499,2495
497,2485
498,2490
498,2490
495,2475
498,2490
492,2460
503,2515
498,2490
496,2480
495,2475
498,2490
494,2470
524,2620
498,2490
497,2485
493,2465
498,2490
499,2495
498,2490
500,2500
499,2495
498,2490
498,2490
497,2485
498,2490
502,2510
493,2465
495,2475
500,2500
498,2490
492,2460
497,2485
492,2460
499,2495
494,2470
499,2495
521,2605
497,2485
496,2480
494,2470
493,2465
498,2490
522,2610
522,2610
499,2495
499,2495
499,2495
497,2485
493,2465
499,2495
497,2485
499,2495
494,2470
498,2490
498,2490
497,2485
494,2470
499,2495
500,2500
497,2485
495,2475
497,2485
497,2485
492,2460
502,2510
497,2485
499,2495
505,2525
524,2620
493,2465
498,2490
498,2490
497,2485
503,2515
497,2485
498,2490
497,2485
494,2470
497,2485
496,2480
493,2465
500,2500
499,2495
493,2465
500,2500
493,2465
494,2470
499,2495
497,2485
497,2485
498,2490
497,2485
500,2500
497,2485
496,2480
498,2490
492,2460
494,2470
498,2490
498,2490
498,2490
493,2465
524,2620
493,2465
498,2490
502,2510
502,2510
493,2465
499,2495
514,2570
498,2490
492,2460
496,2480
498,2490
494,2470
499,2495
493,2465
498,2490
499,2495
493,2465
493,2465
494,2470
497,2485
493,2465
499,2495
497,2485
497,2485
493,2465
496,2480
498,2490
498,2490
499,2495
498,2490
492,2460
499,2495
496,2480
493,2465
497,2485
500,2500
547,2735
499,2495
496,2480
498,2490
497,2485
497,2485
494,2470
499,2495
499,2495
500,2500
501,2505
496,2480
494,2470
497,2485
494,2470
497,2485
499,2495
499,2495
492,2460
497,2485
494,2470
500,2500
497,2485
492,2460
498,2490
495,2475
522,2610
495,2475
496,2480
498,2490
517,2585
493,2465
496,2480
498,2490
497,2485
523,2615
498,2490
497,2485
499,2495
497,2485
495,2475
500,2500
493,2465
499,2495
498,2490
498,2490
495,2475
493,2465
500,2500
494,2470
499,2495
509,2545
494,2470
499,2495
493,2465
498,2490
497,2485
493,2465
497,2485
496,2480
499,2495
493,2465
497,2485
518,2590
542,2710
494,2470
497,2485
494,2470
494,2470
498,2490
505,2525
498,2490
501,2505
493,2465
493,2465
498,2490
497,2485
498,2490
494,2470
494,2470
501,2505
499,2495
496,2480
492,2460
496,2480
493,2465
502,2510
497,2485
494,2470
496,2480
498,2490
523,2615
511,2555
516,2580
515,2575
497,2485
495,2475
499,2495
498,2490
499,2495
521,2605
494,2470
498,2490
503,2515
520,2600
499,2495
498,2490
497,2485
494,2470
497,2485
497,2485
499,2495
499,2495
512,2560
496,2480
496,2480
494,2470
498,2490
498,2490
498,2490
500,2500
497,2485
494,2470
499,2495
494,2470
522,2610
497,2485
497,2485
501,2505
494,2470
522,2610
498,2490
499,2495
498,2490
493,2465
498,2490
496,2480
500,2500
494,2470
493,2465
502,2510
499,2495
500,2500
493,2465
500,2500
500,2500
494,2470
496,2480
493,2465
499,2495
497,2485
493,2465
499,2495
495,2475
493,2465
494,2470
497,2485
497,2485
498,2490
500,2500
539,2695
496,2480
515,2575
496,2480
499,2495
497,2485
498,2490
493,2465
499,2495
495,2475
497,2485
492,2460
499,2495
499,2495
495,2475
500,2500
503,2515
496,2480
496,2480
496,2480
491,2455
497,2485
498,2490
499,2495
498,2490
499,2495
492,2460
496,2480
494,2470
496,2480
517,2585
493,2465
494,2470
523,2615
494,2470
497,2485
498,2490
498,2490
498,2490
496,2480
500,2500
499,2495
497,2485
493,2465
498,2490
497,2485
496,2480
498,2490
499,2495
511,2555
498,2490
496,2480
498,2490
521,2605
499,2495
497,2485
502,2510
522,2610
496,2480
522,2610
497,2485
497,2485
499,2495
494,2470
493,2465
515,2575
498,2490
497,2485
498,2490
495,2475
497,2485
493,2465
499,2495
499,2495
493,2465
497,2485
491,2455
492,2460
499,2495
493,2465
498,2490
495,2475
498,2490
522,2610
497,2485
497,2485
499,2495
521,2605
494,2470
498,2490
492,2460
495,2475
493,2465
497,2485
499,2495
497,2485
495,2475
502,2510
498,2490
492,2460
498,2490
497,2485
493,2465
499,2495
499,2495
499,2495
496,2480
498,2490
509,2545
498,2490
492,2460
493,2465
495,2475
498,2490
496,2480
499,2495
496,2480
495,2475
494,2470
493,2465
