# rtt trace, one row per completed round, in order
# clk_hz=200000000 entries=10000 full=0 saturated=0
cycles,ns
2306,11530
896,4480
919,4595
950,4750
948,4740
871,4355
883,4415
874,4370
976,4880
884,4420
921,4605
952,4760
908,4540
923,4615
903,4515
925,4625
892,4460
881,4405
1039,5195
959,4795
909,4545
871,4355
924,4620
890,4450
938,4690
934,4670
1022,5110
907,4535
933,4665
904,4520
877,4385
928,4640
956,4780
891,4455
1042,5210
887,4435
872,4360
870,4350
884,4420
1005,5025
933,4665
933,4665
879,4395
903,4515
889,4445
925,4625
885,4425
875,4375
936,4680
999,4995
935,4675
883,4415
927,4635
929,4645
931,4655
885,4425
933,4665
893,4465
901,4505
905,4525
928,4640
876,4380
928,4640
875,4375
933,4665
876,4380
884,4420
930,4650
924,4620
884,4420
876,4380
920,4600
930,4650
895,4475
953,4765
928,4640
880,4400
877,4385
921,4605
868,4340
883,4415
880,4400
975,4875
932,4660
883,4415
942,4710
927,4635
888,4440
936,4680
884,4420
936,4680
891,4455
875,4375
924,4620
890,4450
925,4625
955,4775
893,4465
893,4465
942,4710
889,4445
924,4620
869,4345
870,4350
933,4665
889,4445
879,4395
879,4395
879,4395
882,4410
877,4385
871,4355
934,4670
886,4430
894,4470
881,4405
926,4630
949,4745
927,4635
926,4630
894,4470
1018,5090
935,4675
938,4690
932,4660
1011,5055
928,4640
871,4355
938,4690
1043,5215
884,4420
881,4405
889,4445
873,4365
869,4345
880,4400
974,4870
934,4670
878,4390
935,4675
929,4645
870,4350
927,4635
879,4395
896,4480
1004,5020
936,4680
881,4405
872,4360
884,4420
875,4375
871,4355
893,4465
885,4425
939,4695
958,4790
930,4650
1003,5015
932,4660
878,4390
933,4665
934,4670
911,4555
934,4670
868,4340
925,4625
879,4395
923,4615
909,4545
900,4500
932,4660
934,4670
880,4400
895,4475
869,4345
882,4410
934,4670
881,4405
1023,5115
884,4420
955,4775
886,4430
883,4415
930,4650
883,4415
942,4710
891,4455
942,4710
885,4425
932,4660
931,4655
931,4655
894,4470
898,4490
879,4395
947,4735
923,4615
880,4400
951,4755
880,4400
878,4390
945,4725
877,4385
954,4770
870,4350
911,4555
880,4400
885,4425
935,4675
914,4570
1002,5010
883,4415
871,4355
962,4810
886,4430
882,4410
938,4690
1021,5105
938,4690
885,4425
899,4495
875,4375
929,4645
931,4655
932,4660
932,4660
930,4650
889,4445
882,4410
926,4630
924,4620
877,4385
887,4435
891,4455
886,4430
891,4455
925,4625
887,4435
894,4470
926,4630
934,4670
936,4680
936,4680
895,4475
893,4465
931,4655
927,4635
931,4655
884,4420
896,4480
882,4410
938,4690
928,4640
872,4360
882,4410
875,4375
874,4370
876,4380
930,4650
888,4440
869,4345
870,4350
983,4915
922,4610
877,4385
961,4805
884,4420
944,4720
880,4400
886,4430
882,4410
885,4425
879,4395
904,4520
932,4660
888,4440
880,4400
939,4695
963,4815
926,4630
896,4480
892,4460
935,4675
885,4425
931,4655
877,4385
934,4670
930,4650
933,4665
882,4410
932,4660
898,4490
899,4495
880,4400
879,4395
923,4615
888,4440
964,4820
880,4400
891,4455
893,4465
923,4615
870,4350
924,4620
882,4410
925,4625
937,4685
882,4410
883,4415
903,4515
932,4660
888,4440
938,4690
883,4415
975,4875
885,4425
930,4650
878,4390
885,4425
875,4375
889,4445
911,4555
883,4415
926,4630
877,4385
870,4350
949,4745
925,4625
882,4410
950,4750
933,4665
944,4720
925,4625
881,4405
868,4340
922,4610
883,4415
899,4495
890,4450
934,4670
937,4685
886,4430
927,4635
925,4625
936,4680
886,4430
1016,5080
935,4675
873,4365
883,4415
925,4625
877,4385
932,4660
931,4655
933,4665
900,4500
883,4415
921,4605
889,4445
873,4365
891,4455
947,4735
893,4465
887,4435
872,4360
1034,5170
924,4620
871,4355
934,4670
883,4415
894,4470
942,4710
872,4360
958,4790
954,4770
881,4405
936,4680
933,4665
881,4405
896,4480
927,4635
877,4385
873,4365
926,4630
911,4555
