# rtt trace, one row per completed round, in order
# clk_hz=200000000 entries=1000000 full=0 saturated=0
cycles,ns
12456,62280
6387,31935
6511,32555
6566,32830
6600,33000
6584,32920
6583,32915
6585,32925
6389,31945
6517,32585
6518,32590
6518,32590
6591,32955
6583,32915
6583,32915
6453,32265
6508,32540
6587,32935
6581,32905
6504,32520
6566,32830
6528,32640
6399,31995
6526,32630
6511,32555
6512,32560
6510,32550
6509,32545
6530,32650
6442,32210
6526,32630
6557,32785
6574,32870
6580,32900
6574,32870
6574,32870
6454,32270
6542,32710
6542,32710
6583,32915
6519,32595
6517,32585
6518,32590
6393,31965
6529,32645
6584,32920
6578,32890
6578,32890
6505,32525
6512,32560
6375,31875
6505,32525
6520,32600
6520,32600
6523,32615
6519,32595
6511,32555
6386,31930
6516,32580
6515,32575
6564,32820
6569,32845
6570,32850
6566,32830
6441,32205
6561,32805
6562,32810
6563,32815
6571,32855
6575,32875
6571,32855
6448,32240
6528,32640
6528,32640
6529,32645
6523,32615
6580,32900
6580,32900
6453,32265
6583,32915
6559,32795
6562,32810
6565,32825
6507,32535
6526,32630
6387,31935
6518,32590
6558,32790
6510,32550
6517,32585
6530,32650
6516,32580
6458,32290
6586,32930
6582,32910
6584,32920
6577,32885
6526,32630
6523,32615
6397,31985
6583,32915
6587,32935
6591,32955
6583,32915
6521,32605
6522,32610
6395,31975
6523,32615
6531,32655
6584,32920
6554,32770
6583,32915
6505,32525
6374,31870
6501,32505
6504,32520
6526,32630
6526,32630
6561,32805
6565,32825
6374,31870
6511,32555
6511,32555
6513,32565
6569,32845
6562,32810
6566,32830
6437,32185
6571,32855
6570,32850
6572,32860
6527,32635
6539,32695
6537,32685
6410,32050
6542,32710
6518,32590
6518,32590
6519,32595
6519,32595
6584,32920
6457,32285
6586,32930
6590,32950
6509,32545
6510,32550
6511,32555
6568,32840
6407,32035
6534,32670
6534,32670
6536,32680
6510,32550
6514,32570
6514,32570
6384,31920
6574,32870
6576,32880
6574,32870
6576,32880
6575,32875
6577,32885
6447,32235
6576,32880
6542,32710
6541,32705
6540,32700
6541,32705
6515,32575
6387,31935
6513,32565
6513,32565
6526,32630
6584,32920
6523,32615
6523,32615
6370,31850
6499,32495
6500,32500
6497,32485
6517,32585
6518,32590
6519,32595
6389,31945
6517,32585
6512,32560
6507,32535
6505,32525
6568,32840
6568,32840
6439,32195
6569,32845
6538,32690
6572,32860
6574,32870
6576,32880
6587,32935
6457,32285
6585,32925
6585,32925
6535,32675
6538,32690
6535,32675
6537,32685
6476,32380
6585,32925
6591,32955
6587,32935
6508,32540
6563,32815
6566,32830
6439,32195
6517,32585
6522,32610
6521,32605
6515,32575
6513,32565
6513,32565
6380,31900
6511,32555
6575,32875
6576,32880
6572,32860
6572,32860
6579,32895
6394,31970
6518,32590
6517,32585
6581,32905
6578,32890
6579,32895
6582,32910
6386,31930
6515,32575
6515,32575
6512,32560
6577,32885
6521,32605
6574,32870
6392,31960
6501,32505
6506,32530
6500,32500
6502,32510
6564,32820
6522,32610
6398,31990
6567,32835
6514,32570
6505,32525
6505,32525
6512,32560
6572,32860
6443,32215
6573,32865
6574,32870
6571,32855
6566,32830
6513,32565
6518,32590
6414,32070
6579,32895
6541,32705
6580,32900
6518,32590
6520,32600
6522,32610
6393,31965
6593,32965
6584,32920
6583,32915
6680,33400
6563,32815
6557,32785
6436,32180
6561,32805
6526,32630
6524,32620
6532,32660
6526,32630
6655,33275
6376,31880
6503,32515
6503,32515
6564,32820
6559,32795
6565,32825
6638,33190
6446,32230
6574,32870
6575,32875
6576,32880
6559,32795
6584,32920
6585,32925
6450,32250
6523,32615
6519,32595
6514,32570
6514,32570
6522,32610
6520,32600
6447,32235
6522,32610
6501,32505
6502,32510
6504,32520
6503,32515
6521,32605
6391,31955
6589,32945
6521,32605
6573,32865
6515,32575
6508,32540
6515,32575
6441,32205
6549,32745
6572,32860
6610,33050
6587,32935
6592,32960
6531,32655
6440,32200
6581,32905
6582,32910
6584,32920
6584,32920
6519,32595
6529,32645
6400,32000
6524,32620
6586,32930
6584,32920
6585,32925
6583,32915
6671,33355
6378,31890
6563,32815
6563,32815
6589,32945
6524,32620
6514,32570
6516,32580
6383,31915
6516,32580
6508,32540
6505,32525
6574,32870
6576,32880
6668,33340
6443,32215
6577,32885
6524,32620
6522,32610
6524,32620
6580,32900
6583,32915
6456,32280
6579,32895
6523,32615
6519,32595
6520,32600
6572,32860
6528,32640
6400,32000
6525,32625
6526,32630
6499,32495
6498,32490
6501,32505
6622,33110
6436,32180
6522,32610
6561,32805
6563,32815
6615,33075
6512,32560
6511,32555
6382,31910
6566,32830
6567,32835
6565,32825
6568,32840
6568,32840
6571,32855
6442,32210
6660,33300
6553,32765
6541,32705
6541,32705
6590,32950
6518,32590
6393,31965
6521,32605
6520,32600
6583,32915
6585,32925
6584,32920
6583,32915
6385,31925
6516,32580
6540,32700
6516,32580
6539,32695
6532,32660
6533,32665
6406,32030
6514,32570
6513,32565
6521,32605
6514,32570
6577,32885
6577,32885
6473,32365
6585,32925
6649,33245
6575,32875
6603,33015
6534,32670
6572,32860
6419,32095
6543,32715
6537,32685
6552,32760
6519,32595
6517,32585
6515,32575
6397,31985
6525,32625
6538,32690
6521,32605
6502,32510
6524,32620
6499,32495
6369,31845
6519,32595
6515,32575
6519,32595
6524,32620
6512,32560
6504,32520
6378,31890
6505,32525
6568,32840
6566,32830
6565,32825
6568,32840
6572,32860
6444,32220
6573,32865
6550,32750
6582,32910
6582,32910
6584,32920
6587,32935
6461,32305
6534,32670
6536,32680
6538,32690
6588,32940
6592,32960
6588,32940
6461,32305
6564,32820
6547,32735
6562,32810
6638,33190
6524,32620
6557,32785
6389,31945
6641,33205
6527,32635
6510,32550
6509,32545
6507,32535
6573,32865
6448,32240
6572,32860
6573,32865
6602,33010
6523,32615
6518,32590
6521,32605
6452,32260
6582,32910
6550,32750
6580,32900
6517,32585
6545,32725
6526,32630
6386,31930
6579,32895
6581,32905
6581,32905
6578,32890
6534,32670
6500,32500
6371,31855
6504,32520
6632,33160
6525,32625
6565,32825
6568,32840
6525,32625
6383,31915
6516,32580
6513,32565
6569,32845
6570,32850
6569,32845
6569,32845
6514,32570
6411,32055
6528,32640
6584,32920
6579,32895
6537,32685
6575,32875
6579,32895
6390,31950
6520,32600
6519,32595
6517,32585
6582,32910
6583,32915
6581,32905
6467,32335
6539,32695
6559,32795
6559,32795
6561,32805
6525,32625
6524,32620
6415,32075
6523,32615
6509,32545
6525,32625
6508,32540
6573,32865
6566,32830
6495,32475
6585,32925
6583,32915
6645,33225
6575,32875
6597,32985
6573,32865
6413,32065
6548,32740
6538,32690
6577,32885
6516,32580
6517,32585
6517,32585
6387,31935
6581,32905
6586,32930
6581,32905
6523,32615
6509,32545
6500,32500
6377,31885
6503,32515
6535,32675
6520,32600
6525,32625
6518,32590
6510,32550
6391,31955
6515,32575
6525,32625
6565,32825
6535,32675
6566,32830
6608,33040
6437,32185
6567,32835
6564,32820
6565,32825
6576,32880
6575,32875
6576,32880
6449,32245
6527,32635
6525,32625
6525,32625
6521,32605
6582,32910
6585,32925
6402,32010
6585,32925
6562,32810
6526,32630
6558,32790
6508,32540
6528,32640
6391,31955
6526,32630
6527,32635
6511,32555
6510,32550
6510,32550
6510,32550
6440,32200
6691,33455
6570,32850
6598,32990
6579,32895
6527,32635
6595,32975
6428,32140
6592,32960
6586,32930
6602,33010
6583,32915
6521,32605
6535,32675
6392,31960
6525,32625
6528,32640
6582,32910
6580,32900
6529,32645
6502,32510
6371,31855
6501,32505
6503,32515
6564,32820
6562,32810
6561,32805
6576,32880
6389,31945
6508,32540
6503,32515
6513,32565
6644,33220
6565,32825
6577,32885
6436,32180
6577,32885
6586,32930
6582,32910
6584,32920
6534,32670
6537,32685
6410,32050
6537,32685
6513,32565
6515,32575
6517,32585
6518,32590
6592,32960
6452,32260
6586,32930
6587,32935
6625,33125
6508,32540
6541,32705
6582,32910
6401,32005
6533,32665
6537,32685
6535,32675
6525,32625
6520,32600
6517,32585
6446,32230
6542,32710
6536,32680
6536,32680
6578,32890
6574,32870
6579,32895
6445,32225
6575,32875
6540,32700
6545,32725
6543,32715
6582,32910
6521,32605
6392,31960
6516,32580
6515,32575
6578,32890
6580,32900
6582,32910
6525,32625
6375,31875
6502,32510
6500,32500
6498,32490
6568,32840
6519,32595
6544,32720
6385,31925
6509,32545
6514,32570
6513,32565
6513,32565
6565,32825
6569,32845
6437,32185
6568,32840
6571,32855
6571,32855
6568,32840
6557,32785
6582,32910
6449,32245
6582,32910
6580,32900
6532,32660
6528,32640
6535,32675
6534,32670
6447,32235
6590,32950
6591,32955
6593,32965
6509,32545
6567,32835
6568,32840
6438,32190
6526,32630
6557,32785
6519,32595
6529,32645
6514,32570
6511,32555
6386,31930
6514,32570
6575,32875
6691,33455
6575,32875
6595,32975
6582,32910
6451,32255
6527,32635
6581,32905
6581,32905
6544,32720
6546,32730
6584,32920
6395,31975
6523,32615
6517,32585
6521,32605
6581,32905
6577,32885
6581,32905
6451,32255
6505,32525
6533,32665
6503,32515
6500,32500
6567,32835
6524,32620
6440,32200
6582,32910
6510,32550
6510,32550
6509,32545
6509,32545
6643,33215
6436,32180
6568,32840
6568,32840
6563,32815
6513,32565
6512,32560
6514,32570
6411,32055
6535,32675
6536,32680
6577,32885
6518,32590
6517,32585
6520,32600
6393,31965
6584,32920
6584,32920
6583,32915
6581,32905
6559,32795
6558,32790
6377,31885
6581,32905
6606,33030
6524,32620
6524,32620
6530,32650
6510,32550
6381,31905
6507,32535
6508,32540
6595,32975
6572,32860
6525,32625
6567,32835
6479,32395
6584,32920
6584,32920
6584,32920
6581,32905
6623,33115
6542,32710
6413,32065
6517,32585
6514,32570
6515,32575
6518,32590
6578,32890
6579,32895
6460,32300
6612,33060
6506,32530
6507,32535
6505,32525
6504,32520
6570,32850
6389,31945
6516,32580
6517,32585
6511,32555
6518,32590
6509,32545
6513,32565
6439,32195
6567,32835
6537,32685
6564,32820
6562,32810
6561,32805
6564,32820
6511,32555
6574,32870
6578,32890
6573,32865
6576,32880
6543,32715
6522,32610
6402,32010
6527,32635
6580,32900
6585,32925
6589,32945
6581,32905
6510,32550
6433,32165
6512,32560
6507,32535
6522,32610
6521,32605
6539,32695
6528,32640
6385,31925
6513,32565
6515,32575
6515,32575
6573,32865
6582,32910
6587,32935
6443,32215
6579,32895
6568,32840
6527,32635
6525,32625
6586,32930
6567,32835
6458,32290
6585,32925
6598,32990
6528,32640
6527,32635
6528,32640
6667,33335
6456,32280
6532,32660
6588,32940
6509,32545
6505,32525
6508,32540
6506,32530
6398,31990
6566,32830
6539,32695
6584,32920
6512,32560
6518,32590
6529,32645
6382,31910
6591,32955
6538,32690
6564,32820
6650,33250
6568,32840
6513,32565
6438,32190
6570,32850
6613,33065
6577,32885
6573,32865
6537,32685
6514,32570
6394,31970
6516,32580
6518,32590
6581,32905
6580,32900
6584,32920
6587,32935
6384,31920
6559,32795
6572,32860
6632,33160
6533,32665
6531,32655
6593,32965
6409,32045
6512,32560
6515,32575
6531,32655
6514,32570
6536,32680
6535,32675
6412,32060
6577,32885
6581,32905
6560,32800
6537,32685
6575,32875
6541,32705
6543,32715
6539,32695
6572,32860
6521,32605
6518,32590
6518,32590
6524,32620
6457,32285
6580,32900
6583,32915
6585,32925
6504,32520
6504,32520
6533,32665
6376,31880
6651,33255
6531,32655
6519,32595
6519,32595
6520,32600
6512,32560
6383,31915
6515,32575
6562,32810
6560,32800
6563,32815
6564,32820
6563,32815
6437,32185
6514,32570
6633,33165
6578,32890
6584,32920
6584,32920
6585,32925
6447,32235
6526,32630
6526,32630
6531,32655
6554,32770
6531,32655
6637,33185
6456,32280
6511,32555
6503,32515
6562,32810
6564,32820
6522,32610
6524,32620
6397,31985
6526,32630
6510,32550
6514,32570
6588,32940
6521,32605
6575,32875
6441,32205
6578,32890
6574,32870
6691,33455
6581,32905
6590,32950
6527,32635
6458,32290
6588,32940
6586,32930
6549,32745
6525,32625
6528,32640
6522,32610
6395,31975
6586,32930
6586,32930
6588,32940
6587,32935
6508,32540
6508,32540
6377,31885
6506,32530
6533,32665
6525,32625
6526,32630
6533,32665
6506,32530
6390,31950
6518,32590
6512,32560
6574,32870
6566,32830
6561,32805
6568,32840
6563,32815
6432,32160
6507,32535
6565,32825
6573,32865
6569,32845
6538,32690
6572,32860
6386,31930
6513,32565
6526,32630
6516,32580
6576,32880
6525,32625
6579,32895
6451,32255
6509,32545
6557,32785
6502,32510
6556,32780
6629,33145
6521,32605
6395,31975
6526,32630
6507,32535
6504,32520
6508,32540
6506,32530
6602,33010
6399,31995
6527,32635
6569,32845
6535,32675
6574,32870
6573,32865
6576,32880
6416,32080
6543,32715
6590,32950
6540,32700
6521,32605
6519,32595
6550,32750
6391,31955
6581,32905
6582,32910
6579,32895
6582,32910
6507,32535
6508,32540
6384,31920
6508,32540
6522,32610
6567,32835
6544,32720
6521,32605
6510,32550
6388,31940
6512,32560
6510,32550
6674,33370
6584,32920
6585,32925
6583,32915
6429,32145
6560,32800
6582,32910
6584,32920
6572,32860
6572,32860
6571,32855
6445,32225
6523,32615
6555,32775
6523,32615
6524,32620
6573,32865
6577,32885
6448,32240
6542,32710
6505,32525
6508,32540
6531,32655
6501,32505
6529,32645
6386,31930
6524,32620
6523,32615
6509,32545
6513,32565
6512,32560
6512,32560
6473,32365
6575,32875
6577,32885
6582,32910
6581,32905
6529,32645
6530,32650
6419,32095
6585,32925
6583,32915
6584,32920
6588,32940
6528,32640
6530,32650
6399,31995
6540,32700
6585,32925
6582,32910
6532,32660
6670,33350
6511,32555
6380,31900
6505,32525
6505,32525
6568,32840
6531,32655
6528,32640
6528,32640
6376,31880
6530,32650
6507,32535
6509,32545
6568,32840
6561,32805
6581,32905
6433,32165
6508,32540
6511,32555
6570,32850
6515,32575
6537,32685
6536,32680
6409,32045
6575,32875
6516,32580
6513,32565
6518,32590
