# rtt trace, one row per completed round, in order
# clk_hz=200000000 entries=10000 full=0 saturated=0
cycles,ns
12086,60430
6380,31900
6514,32570
6560,32800
6569,32845
6579,32895
6563,32815
6574,32870
6384,31920
6590,32950
6719,33595
6553,32765
6563,32815
6577,32885
6595,32975
6513,32565
6498,32490
6487,32435
6545,32725
6482,32410
6508,32540
6579,32895
6382,31910
6643,33215
6506,32530
6494,32470
6497,32485
6498,32490
6509,32545
6371,31855
6499,32495
6560,32800
6536,32680
6499,32495
6584,32920
6561,32805
6450,32250
6568,32840
6528,32640
6569,32845
6557,32785
6508,32540
6506,32530
6386,31930
6528,32640
6577,32885
6565,32825
6513,32565
6556,32780
6506,32530
6386,31930
6548,32740
6510,32550
6537,32685
6555,32775
6512,32560
6561,32805
6428,32140
6516,32580
6513,32565
6567,32835
6518,32590
6504,32520
6520,32600
6431,32155
6515,32575
6518,32590
6504,32520
6508,32540
6551,32755
6517,32585
6385,31925
6560,32800
6622,33110
6508,32540
6555,32775
6518,32590
6517,32585
6392,31960
6568,32840
6674,33370
6508,32540
6547,32735
6548,32740
6533,32665
6383,31915
6504,32520
6496,32480
6555,32775
6488,32440
6546,32730
6491,32455
6424,32120
6560,32800
6512,32560
6497,32485
6525,32625
6645,33225
6552,32760
6429,32145
6542,32710
6520,32600
6528,32640
6527,32635
6517,32585
6508,32540
6394,31970
6526,32630
6530,32650
6528,32640
6513,32565
6611,33055
6495,32475
6399,31995
6509,32545
6542,32710
6559,32795
6509,32545
6512,32560
6498,32490
6371,31855
6503,32515
6504,32520
6501,32505
6554,32770
6516,32580
6513,32565
6370,31850
6511,32555
6520,32600
6558,32790
6506,32530
6518,32590
6569,32845
6395,31975
6513,32565
6520,32600
6520,32600
6557,32785
6559,32795
6571,32855
6443,32215
6573,32865
6514,32570
6660,33300
6506,32530
6503,32515
6501,32505
6393,31965
6557,32785
6559,32795
6513,32565
6506,32530
6517,32585
6559,32795
6380,31900
6514,32570
6509,32545
6522,32610
6519,32595
6510,32550
6517,32585
6389,31945
6564,32820
6521,32605
6565,32825
6523,32615
6523,32615
6509,32545
6398,31990
6508,32540
6512,32560
6532,32660
6575,32875
6520,32600
6573,32865
6422,32110
6501,32505
6546,32730
6501,32505
6505,32525
6506,32530
6517,32585
6412,32060
6515,32575
6513,32565
6550,32750
6517,32585
6566,32830
6495,32475
6376,31880
6643,33215
6570,32850
6560,32800
6577,32885
6567,32835
6523,32615
6451,32255
6576,32880
6544,32720
6549,32745
6673,33365
6510,32550
6512,32560
6449,32245
6526,32630
6538,32690
6523,32615
6507,32535
6488,32440
