# rtt trace, one row per completed round, in order
# clk_hz=200000000 entries=10000 full=0 saturated=1
cycles,ns
65535,327675
939,4695
903,4515
884,4420
954,4770
982,4910
900,4500
944,4720
944,4720
934,4670
896,4480
937,4685
948,4740
900,4500
970,4850
887,4435
932,4660
935,4675
877,4385
888,4440
910,4550
896,4480
907,4535
916,4580
920,4600
886,4430
932,4660
931,4655
902,4510
895,4475
890,4450
934,4670
890,4450
962,4810
902,4510
885,4425
896,4480
944,4720
947,4735
894,4470
934,4670
893,4465
887,4435
895,4475
952,4760
893,4465
943,4715
955,4775
932,4660
933,4665
933,4665
942,4710
898,4490
943,4715
897,4485
902,4510
881,4405
910,4550
884,4420
880,4400
892,4460
972,4860
888,4440
888,4440
890,4450
939,4695
936,4680
924,4620
900,4500
892,4460
909,4545
982,4910
910,4550
971,4855
956,4780
892,4460
918,4590
945,4725
945,4725
944,4720
969,4845
891,4455
935,4675
892,4460
888,4440
898,4490
947,4735
941,4705
879,4395
882,4410
881,4405
933,4665
912,4560
899,4495
887,4435
897,4485
896,4480
935,4675
885,4425
888,4440
946,4730
908,4540
897,4485
892,4460
922,4610
1007,5035
935,4675
934,4670
904,4520
904,4520
947,4735
890,4450
883,4415
946,4730
891,4455
883,4415
944,4720
941,4705
1008,5040
942,4710
879,4395
930,4650
932,4660
879,4395
943,4715
899,4495
897,4485
943,4715
946,4730
942,4710
940,4700
891,4455
898,4490
902,4510
947,4735
890,4450
913,4565
903,4515
883,4415
892,4460
947,4735
946,4730
912,4560
908,4540
935,4675
886,4430
931,4655
886,4430
898,4490
945,4725
943,4715
889,4445
934,4670
933,4665
933,4665
944,4720
896,4480
902,4510
899,4495
943,4715
884,4420
885,4425
939,4695
1020,5100
905,4525
947,4735
905,4525
941,4705
922,4610
894,4470
887,4435
884,4420
899,4495
946,4730
947,4735
890,4450
930,4650
936,4680
934,4670
888,4440
887,4435
944,4720
887,4435
945,4725
887,4435
938,4690
878,4390
935,4675
944,4720
922,4610
942,4710
907,4535
946,4730
962,4810
884,4420
897,4485
920,4600
891,4455
902,4510
950,4750
942,4710
897,4485
896,4480
939,4695
949,4745
950,4750
913,4565
901,4505
895,4475
934,4670
933,4665
937,4685
946,4730
911,4555
901,4505
895,4475
881,4405
935,4675
888,4440
936,4680
941,4705
895,4475
943,4715
922,4610
900,4500
884,4420
936,4680
895,4475
958,4790
948,4740
908,4540
896,4480
966,4830
913,4565
885,4425
884,4420
948,4740
971,4855
945,4725
947,4735
937,4685
883,4415
914,4570
906,4530
902,4510
943,4715
971,4855
944,4720
900,4500
936,4680
923,4615
893,4465
896,4480
889,4445
944,4720
945,4725
937,4685
895,4475
938,4690
937,4685
891,4455
889,4445
980,4900
950,4750
884,4420
885,4425
957,4785
891,4455
899,4495
944,4720
944,4720
922,4610
879,4395
931,4655
888,4440
931,4655
975,4875
944,4720
940,4700
941,4705
932,4660
934,4670
878,4390
931,4655
897,4485
941,4705
887,4435
942,4710
937,4685
883,4415
934,4670
908,4540
946,4730
