# clk_mhz=200.0
# source=ctrl=hw-handshake-sw-loop coproc=cpu-echo
sample,rtt_cycles,rtt_us
0,928,4.6400
1,465,2.3250
2,482,2.4100
3,460,2.3000
4,468,2.3400
5,461,2.3050
6,466,2.3300
7,462,2.3100
8,462,2.3100
9,461,2.3050
10,464,2.3200
11,461,2.3050
12,459,2.2950
13,461,2.3050
14,461,2.3050
15,462,2.3100
16,461,2.3050
17,463,2.3150
18,462,2.3100
19,463,2.3150
20,461,2.3050
21,460,2.3000
22,462,2.3100
23,461,2.3050
24,461,2.3050
25,461,2.3050
26,463,2.3150
27,463,2.3150
28,462,2.3100
29,460,2.3000
30,461,2.3050
31,462,2.3100
32,463,2.3150
33,463,2.3150
34,461,2.3050
35,482,2.4100
36,460,2.3000
37,465,2.3250
38,463,2.3150
39,460,2.3000
40,459,2.2950
41,461,2.3050
42,463,2.3150
43,461,2.3050
44,462,2.3100
45,461,2.3050
46,461,2.3050
47,460,2.3000
48,461,2.3050
49,461,2.3050
50,472,2.3600
51,462,2.3100
52,461,2.3050
53,461,2.3050
54,460,2.3000
55,462,2.3100
56,462,2.3100
57,462,2.3100
58,462,2.3100
59,462,2.3100
60,461,2.3050
61,460,2.3000
62,460,2.3000
63,462,2.3100
64,465,2.3250
65,461,2.3050
66,463,2.3150
67,463,2.3150
68,462,2.3100
69,461,2.3050
70,482,2.4100
71,463,2.3150
72,461,2.3050
73,462,2.3100
74,463,2.3150
75,461,2.3050
76,462,2.3100
77,461,2.3050
78,461,2.3050
79,462,2.3100
80,482,2.4100
81,461,2.3050
82,462,2.3100
83,461,2.3050
84,462,2.3100
85,460,2.3000
86,460,2.3000
87,462,2.3100
88,464,2.3200
89,466,2.3300
90,462,2.3100
91,462,2.3100
92,460,2.3000
93,461,2.3050
94,465,2.3250
95,461,2.3050
96,463,2.3150
97,460,2.3000
98,462,2.3100
99,463,2.3150
100,461,2.3050
101,461,2.3050
102,462,2.3100
103,460,2.3000
104,463,2.3150
105,463,2.3150
106,461,2.3050
107,461,2.3050
108,463,2.3150
109,464,2.3200
110,461,2.3050
111,461,2.3050
112,462,2.3100
113,462,2.3100
114,461,2.3050
115,461,2.3050
116,461,2.3050
117,459,2.2950
118,461,2.3050
119,462,2.3100
120,462,2.3100
121,461,2.3050
122,462,2.3100
123,468,2.3400
124,461,2.3050
125,460,2.3000
126,461,2.3050
127,462,2.3100
128,465,2.3250
129,461,2.3050
130,462,2.3100
131,461,2.3050
132,461,2.3050
133,463,2.3150
134,461,2.3050
135,462,2.3100
136,461,2.3050
137,461,2.3050
138,460,2.3000
139,461,2.3050
140,465,2.3250
141,462,2.3100
142,463,2.3150
143,462,2.3100
144,464,2.3200
145,460,2.3000
146,489,2.4450
147,461,2.3050
148,462,2.3100
149,461,2.3050
150,462,2.3100
151,463,2.3150
152,462,2.3100
153,460,2.3000
154,460,2.3000
155,461,2.3050
156,465,2.3250
157,466,2.3300
158,461,2.3050
159,464,2.3200
160,460,2.3000
161,460,2.3000
162,468,2.3400
163,461,2.3050
164,460,2.3000
165,460,2.3000
166,463,2.3150
167,462,2.3100
168,460,2.3000
169,461,2.3050
170,462,2.3100
171,460,2.3000
172,463,2.3150
173,463,2.3150
174,462,2.3100
175,463,2.3150
176,461,2.3050
177,461,2.3050
178,461,2.3050
179,460,2.3000
180,464,2.3200
181,463,2.3150
182,463,2.3150
183,464,2.3200
184,462,2.3100
185,466,2.3300
186,461,2.3050
187,462,2.3100
188,461,2.3050
189,462,2.3100
190,464,2.3200
191,466,2.3300
192,485,2.4250
193,460,2.3000
194,462,2.3100
195,462,2.3100
196,460,2.3000
197,462,2.3100
198,463,2.3150
199,463,2.3150
200,460,2.3000
201,460,2.3000
202,485,2.4250
203,460,2.3000
204,464,2.3200
205,462,2.3100
206,463,2.3150
207,462,2.3100
208,465,2.3250
209,460,2.3000
210,462,2.3100
211,460,2.3000
212,462,2.3100
213,462,2.3100
214,462,2.3100
215,462,2.3100
216,459,2.2950
217,493,2.4650
218,460,2.3000
219,462,2.3100
220,464,2.3200
221,462,2.3100
222,463,2.3150
223,461,2.3050
224,461,2.3050
225,461,2.3050
226,459,2.2950
227,462,2.3100
228,462,2.3100
229,462,2.3100
230,461,2.3050
231,464,2.3200
232,461,2.3050
233,459,2.2950
234,461,2.3050
235,459,2.2950
236,463,2.3150
237,461,2.3050
238,462,2.3100
239,462,2.3100
240,461,2.3050
241,459,2.2950
242,465,2.3250
243,461,2.3050
244,463,2.3150
245,462,2.3100
246,461,2.3050
247,462,2.3100
248,464,2.3200
249,462,2.3100
250,462,2.3100
251,460,2.3000
252,461,2.3050
253,462,2.3100
254,463,2.3150
255,463,2.3150
256,461,2.3050
257,461,2.3050
258,474,2.3700
259,463,2.3150
260,462,2.3100
261,461,2.3050
262,462,2.3100
263,460,2.3000
264,467,2.3350
265,462,2.3100
266,461,2.3050
267,462,2.3100
268,463,2.3150
269,464,2.3200
270,463,2.3150
271,463,2.3150
272,462,2.3100
273,475,2.3750
274,463,2.3150
275,461,2.3050
276,461,2.3050
277,461,2.3050
278,463,2.3150
279,461,2.3050
280,467,2.3350
281,462,2.3100
282,462,2.3100
283,461,2.3050
284,462,2.3100
285,460,2.3000
286,462,2.3100
287,463,2.3150
288,461,2.3050
289,463,2.3150
290,461,2.3050
291,461,2.3050
292,462,2.3100
293,461,2.3050
294,461,2.3050
295,460,2.3000
296,461,2.3050
297,465,2.3250
298,461,2.3050
299,463,2.3150
300,461,2.3050
301,460,2.3000
302,462,2.3100
303,461,2.3050
304,461,2.3050
305,462,2.3100
306,461,2.3050
307,462,2.3100
308,460,2.3000
309,461,2.3050
310,461,2.3050
311,461,2.3050
312,462,2.3100
313,461,2.3050
314,463,2.3150
315,463,2.3150
316,471,2.3550
317,460,2.3000
318,462,2.3100
319,460,2.3000
320,462,2.3100
321,462,2.3100
322,460,2.3000
323,464,2.3200
324,460,2.3000
325,460,2.3000
326,462,2.3100
327,461,2.3050
328,463,2.3150
329,461,2.3050
330,462,2.3100
331,485,2.4250
332,459,2.2950
333,467,2.3350
334,462,2.3100
335,464,2.3200
336,462,2.3100
337,461,2.3050
338,462,2.3100
339,461,2.3050
340,459,2.2950
341,462,2.3100
342,462,2.3100
343,462,2.3100
344,461,2.3050
345,462,2.3100
346,471,2.3550
347,460,2.3000
348,461,2.3050
349,460,2.3000
350,463,2.3150
351,460,2.3000
352,460,2.3000
353,464,2.3200
354,462,2.3100
355,462,2.3100
356,462,2.3100
357,462,2.3100
358,461,2.3050
359,462,2.3100
360,461,2.3050
361,463,2.3150
362,461,2.3050
363,461,2.3050
364,462,2.3100
365,461,2.3050
366,486,2.4300
367,460,2.3000
368,461,2.3050
369,462,2.3100
370,462,2.3100
371,463,2.3150
372,461,2.3050
373,460,2.3000
374,461,2.3050
375,462,2.3100
376,483,2.4150
377,462,2.3100
378,462,2.3100
379,462,2.3100
380,466,2.3300
381,460,2.3000
382,462,2.3100
383,461,2.3050
384,459,2.2950
385,460,2.3000
386,482,2.4100
387,463,2.3150
388,461,2.3050
389,462,2.3100
390,463,2.3150
391,463,2.3150
392,460,2.3000
393,459,2.2950
394,467,2.3350
395,464,2.3200
396,462,2.3100
397,462,2.3100
398,463,2.3150
399,462,2.3100
400,460,2.3000
401,483,2.4150
402,466,2.3300
403,461,2.3050
404,461,2.3050
405,463,2.3150
406,462,2.3100
407,463,2.3150
408,460,2.3000
409,462,2.3100
410,459,2.2950
411,460,2.3000
412,462,2.3100
413,462,2.3100
414,464,2.3200
415,466,2.3300
416,460,2.3000
417,460,2.3000
418,460,2.3000
419,459,2.2950
420,462,2.3100
421,472,2.3600
422,462,2.3100
423,462,2.3100
424,461,2.3050
425,461,2.3050
426,461,2.3050
427,462,2.3100
428,460,2.3000
429,462,2.3100
430,462,2.3100
431,474,2.3700
432,462,2.3100
433,462,2.3100
434,461,2.3050
435,461,2.3050
436,462,2.3100
437,462,2.3100
438,463,2.3150
439,464,2.3200
440,460,2.3000
441,461,2.3050
442,463,2.3150
443,460,2.3000
444,462,2.3100
445,462,2.3100
446,463,2.3150
447,462,2.3100
448,461,2.3050
449,459,2.2950
450,460,2.3000
451,466,2.3300
452,463,2.3150
453,463,2.3150
454,489,2.4450
455,463,2.3150
456,483,2.4150
457,460,2.3000
458,461,2.3050
459,462,2.3100
460,461,2.3050
461,462,2.3100
462,463,2.3150
463,462,2.3100
464,461,2.3050
465,465,2.3250
466,463,2.3150
467,460,2.3000
468,466,2.3300
469,461,2.3050
470,461,2.3050
471,464,2.3200
472,459,2.2950
473,460,2.3000
474,460,2.3000
475,466,2.3300
476,461,2.3050
477,462,2.3100
478,462,2.3100
479,463,2.3150
480,460,2.3000
481,461,2.3050
482,460,2.3000
483,459,2.2950
484,467,2.3350
485,460,2.3000
486,472,2.3600
487,461,2.3050
488,462,2.3100
489,460,2.3000
490,460,2.3000
491,460,2.3000
492,463,2.3150
493,461,2.3050
494,462,2.3100
495,461,2.3050
496,462,2.3100
497,461,2.3050
498,459,2.2950
499,461,2.3050
500,461,2.3050
501,467,2.3350
502,463,2.3150
503,464,2.3200
504,460,2.3000
505,461,2.3050
506,461,2.3050
507,459,2.2950
508,463,2.3150
509,462,2.3100
510,462,2.3100
511,467,2.3350
512,461,2.3050
513,461,2.3050
514,461,2.3050
515,459,2.2950
516,461,2.3050
517,462,2.3100
518,460,2.3000
519,461,2.3050
520,462,2.3100
521,460,2.3000
522,461,2.3050
523,461,2.3050
524,459,2.2950
525,460,2.3000
526,462,2.3100
527,461,2.3050
528,460,2.3000
529,462,2.3100
530,463,2.3150
531,460,2.3000
532,461,2.3050
533,460,2.3000
534,461,2.3050
535,462,2.3100
536,461,2.3050
537,461,2.3050
538,462,2.3100
539,462,2.3100
540,461,2.3050
541,460,2.3000
542,463,2.3150
543,462,2.3100
544,466,2.3300
545,479,2.3950
546,462,2.3100
547,463,2.3150
548,460,2.3000
549,459,2.2950
550,461,2.3050
551,460,2.3000
552,462,2.3100
553,461,2.3050
554,462,2.3100
555,466,2.3300
556,461,2.3050
557,466,2.3300
558,461,2.3050
559,461,2.3050
560,462,2.3100
561,462,2.3100
562,461,2.3050
563,477,2.3850
564,461,2.3050
565,462,2.3100
566,462,2.3100
567,461,2.3050
568,461,2.3050
569,463,2.3150
570,461,2.3050
571,462,2.3100
572,461,2.3050
573,469,2.3450
574,462,2.3100
575,459,2.2950
576,462,2.3100
577,462,2.3100
578,462,2.3100
579,462,2.3100
580,462,2.3100
581,459,2.2950
582,463,2.3150
583,462,2.3100
584,462,2.3100
585,463,2.3150
586,460,2.3000
587,461,2.3050
588,466,2.3300
589,480,2.4000
590,462,2.3100
591,463,2.3150
592,462,2.3100
593,463,2.3150
594,463,2.3150
595,462,2.3100
596,464,2.3200
597,460,2.3000
598,461,2.3050
599,477,2.3850
600,462,2.3100
601,460,2.3000
602,462,2.3100
603,466,2.3300
604,460,2.3000
605,460,2.3000
606,459,2.2950
607,461,2.3050
608,462,2.3100
609,465,2.3250
610,461,2.3050
611,462,2.3100
612,462,2.3100
613,461,2.3050
614,461,2.3050
615,460,2.3000
616,461,2.3050
617,463,2.3150
618,461,2.3050
619,460,2.3000
620,461,2.3050
621,460,2.3000
622,462,2.3100
623,461,2.3050
624,462,2.3100
625,463,2.3150
626,460,2.3000
627,463,2.3150
628,462,2.3100
629,462,2.3100
630,461,2.3050
631,463,2.3150
632,461,2.3050
633,469,2.3450
634,461,2.3050
635,460,2.3000
636,461,2.3050
637,460,2.3000
638,462,2.3100
639,462,2.3100
640,461,2.3050
641,461,2.3050
642,460,2.3000
643,460,2.3000
644,476,2.3800
645,461,2.3050
646,467,2.3350
647,460,2.3000
648,460,2.3000
649,463,2.3150
650,460,2.3000
651,459,2.2950
652,461,2.3050
653,463,2.3150
654,480,2.4000
655,462,2.3100
656,460,2.3000
657,461,2.3050
658,459,2.2950
659,461,2.3050
660,462,2.3100
661,460,2.3000
662,461,2.3050
663,461,2.3050
664,460,2.3000
665,461,2.3050
666,461,2.3050
667,461,2.3050
668,462,2.3100
669,462,2.3100
670,463,2.3150
671,463,2.3150
672,473,2.3650
673,460,2.3000
674,461,2.3050
675,463,2.3150
676,461,2.3050
677,462,2.3100
678,467,2.3350
679,461,2.3050
680,461,2.3050
681,459,2.2950
682,476,2.3800
683,461,2.3050
684,461,2.3050
685,463,2.3150
686,463,2.3150
687,466,2.3300
688,461,2.3050
689,459,2.2950
690,461,2.3050
691,462,2.3100
692,461,2.3050
693,462,2.3100
694,464,2.3200
695,467,2.3350
696,464,2.3200
697,461,2.3050
698,460,2.3000
699,460,2.3000
700,462,2.3100
701,466,2.3300
702,462,2.3100
703,461,2.3050
704,461,2.3050
705,460,2.3000
706,460,2.3000
707,461,2.3050
708,461,2.3050
709,461,2.3050
710,462,2.3100
711,462,2.3100
712,461,2.3050
713,462,2.3100
714,462,2.3100
