# clk_mhz=200.0
# source=ctrl=hw-handshake-sw-loop coproc=cpu-steane
sample,rtt_cycles,rtt_us
0,1045,5.2250
1,464,2.3200
2,464,2.3200
3,463,2.3150
4,462,2.3100
5,471,2.3550
6,461,2.3050
7,462,2.3100
8,460,2.3000
9,460,2.3000
10,473,2.3650
11,460,2.3000
12,468,2.3400
13,460,2.3000
14,462,2.3100
15,460,2.3000
16,460,2.3000
17,460,2.3000
18,465,2.3250
19,461,2.3050
20,481,2.4050
21,462,2.3100
22,463,2.3150
23,462,2.3100
24,461,2.3050
25,459,2.2950
26,463,2.3150
27,474,2.3700
28,466,2.3300
29,461,2.3050
30,462,2.3100
31,462,2.3100
32,460,2.3000
33,459,2.2950
34,460,2.3000
35,459,2.2950
36,462,2.3100
37,468,2.3400
38,462,2.3100
39,461,2.3050
40,461,2.3050
41,461,2.3050
42,464,2.3200
43,460,2.3000
44,461,2.3050
45,462,2.3100
46,460,2.3000
47,462,2.3100
48,461,2.3050
49,462,2.3100
50,461,2.3050
51,462,2.3100
52,462,2.3100
53,461,2.3050
54,464,2.3200
55,462,2.3100
56,460,2.3000
57,460,2.3000
58,459,2.2950
59,461,2.3050
60,486,2.4300
61,462,2.3100
62,470,2.3500
63,461,2.3050
64,463,2.3150
65,462,2.3100
66,460,2.3000
67,461,2.3050
68,465,2.3250
69,462,2.3100
70,464,2.3200
71,461,2.3050
72,462,2.3100
73,459,2.2950
74,460,2.3000
75,461,2.3050
76,461,2.3050
77,461,2.3050
78,463,2.3150
79,461,2.3050
80,461,2.3050
81,461,2.3050
82,460,2.3000
83,461,2.3050
84,476,2.3800
85,461,2.3050
86,461,2.3050
87,460,2.3000
88,460,2.3000
89,459,2.2950
90,459,2.2950
91,464,2.3200
92,461,2.3050
93,461,2.3050
94,463,2.3150
95,461,2.3050
96,462,2.3100
97,461,2.3050
98,464,2.3200
99,459,2.2950
100,461,2.3050
101,461,2.3050
102,462,2.3100
103,461,2.3050
104,459,2.2950
105,461,2.3050
106,462,2.3100
107,461,2.3050
108,462,2.3100
109,486,2.4300
110,462,2.3100
111,472,2.3600
112,460,2.3000
113,466,2.3300
114,460,2.3000
115,461,2.3050
116,462,2.3100
117,461,2.3050
118,466,2.3300
119,463,2.3150
120,460,2.3000
121,461,2.3050
122,459,2.2950
123,482,2.4100
124,460,2.3000
125,462,2.3100
126,463,2.3150
127,461,2.3050
128,464,2.3200
129,462,2.3100
130,460,2.3000
131,461,2.3050
132,461,2.3050
133,461,2.3050
134,463,2.3150
135,460,2.3000
136,461,2.3050
137,461,2.3050
138,460,2.3000
139,462,2.3100
140,463,2.3150
141,461,2.3050
142,463,2.3150
143,468,2.3400
144,462,2.3100
145,461,2.3050
146,459,2.2950
147,461,2.3050
148,461,2.3050
149,464,2.3200
150,462,2.3100
151,463,2.3150
152,462,2.3100
153,459,2.2950
154,460,2.3000
155,461,2.3050
156,460,2.3000
157,461,2.3050
158,462,2.3100
159,461,2.3050
160,464,2.3200
161,460,2.3000
162,460,2.3000
163,460,2.3000
164,461,2.3050
165,463,2.3150
166,463,2.3150
167,462,2.3100
168,460,2.3000
169,460,2.3000
170,459,2.2950
171,463,2.3150
