# clk_mhz=200.0
# source=ctrl=hw-handshake-sw-loop coproc=gpu-qldpc
sample,rtt_cycles,rtt_us
0,12245,61.2250
1,6300,31.5000
2,6363,31.8150
3,6376,31.8800
4,6245,31.2250
5,6397,31.9850
6,6243,31.2150
7,6417,32.0850
8,6395,31.9750
9,6173,30.8650
10,6172,30.8600
11,6232,31.1600
12,6305,31.5250
13,6222,31.1100
14,6322,31.6100
15,6335,31.6750
16,6202,31.0100
17,6340,31.7000
18,6182,30.9100
19,6190,30.9500
20,6089,30.4450
21,6190,30.9500
22,6123,30.6150
23,6414,32.0700
24,6220,31.1000
25,6293,31.4650
26,6212,31.0600
27,6207,31.0350
28,6146,30.7300
29,6245,31.2250
30,6155,30.7750
31,6366,31.8300
32,6256,31.2800
33,6164,30.8200
34,6242,31.2100
35,6368,31.8400
36,6252,31.2600
37,6231,31.1550
38,6200,31.0000
39,6243,31.2150
40,6261,31.3050
41,6058,30.2900
42,6046,30.2300
43,6210,31.0500
44,6205,31.0250
45,6045,30.2250
46,6080,30.4000
47,6365,31.8250
48,6219,31.0950
49,6152,30.7600
50,6200,31.0000
51,6181,30.9050
52,6089,30.4450
53,6225,31.1250
54,6123,30.6150
55,6213,31.0650
56,6194,30.9700
57,6073,30.3650
58,6191,30.9550
59,6186,30.9300
60,6086,30.4300
61,6113,30.5650
62,6207,31.0350
63,6501,32.5050
64,6355,31.7750
65,6287,31.4350
66,6372,31.8600
67,6390,31.9500
68,6352,31.7600
69,6346,31.7300
70,6222,31.1100
71,6363,31.8150
72,6393,31.9650
73,6211,31.0550
74,6175,30.8750
75,6239,31.1950
76,6219,31.0950
77,6228,31.1400
78,6292,31.4600
79,6336,31.6800
80,6190,30.9500
81,6341,31.7050
82,6188,30.9400
83,6195,30.9750
84,6073,30.3650
85,6201,31.0050
86,6086,30.4300
87,6400,32.0000
88,6186,30.9300
89,6174,30.8700
90,6216,31.0800
91,6204,31.0200
92,6080,30.4000
93,6247,31.2350
94,6105,30.5250
95,6392,31.9600
96,6236,31.1800
97,6178,30.8900
98,6263,31.3150
99,6343,31.7150
100,6292,31.4600
101,6241,31.2050
102,6211,31.0550
103,6255,31.2750
104,6220,31.1000
105,6045,30.2250
106,6059,30.2950
107,6217,31.0850
108,6219,31.0950
109,6058,30.2900
110,6103,30.5150
111,6425,32.1250
112,6277,31.3850
113,6165,30.8250
114,6207,31.0350
115,6247,31.2350
116,6079,30.3950
117,6343,31.7150
118,6163,30.8150
119,6227,31.1350
120,6201,31.0050
121,6085,30.4250
122,6099,30.4950
123,6246,31.2300
124,6150,30.7500
125,6155,30.7750
126,6209,31.0450
127,6488,32.4400
128,6415,32.0750
129,6347,31.7350
130,6380,31.9000
131,6355,31.7750
132,6260,31.3000
133,6336,31.6800
134,6222,31.1100
135,6359,31.7950
136,6344,31.7200
137,6210,31.0500
138,6162,30.8100
139,6242,31.2100
140,6209,31.0450
141,6209,31.0450
142,6192,30.9600
143,6377,31.8850
144,6183,30.9150
145,6319,31.5950
146,6172,30.8600
147,6237,31.1850
148,6116,30.5800
149,6199,30.9950
150,6117,30.5850
151,6332,31.6600
152,6186,30.9300
153,6165,30.8250
154,6220,31.1000
155,6196,30.9800
156,6073,30.3650
157,6239,31.1950
158,6108,30.5400
159,6364,31.8200
160,6234,31.1700
161,6206,31.0300
162,6207,31.0350
163,6345,31.7250
164,6282,31.4100
165,6197,30.9850
166,6214,31.0700
167,6297,31.4850
168,6235,31.1750
169,6101,30.5050
170,6063,30.3150
171,6227,31.1350
172,6223,31.1150
173,6069,30.3450
174,6149,30.7450
175,6392,31.9600
176,6281,31.4050
177,6230,31.1500
178,6202,31.0100
179,6199,30.9950
180,6124,30.6200
181,6374,31.8700
182,6113,30.5650
183,6281,31.4050
184,6220,31.1000
185,6035,30.1750
186,6086,30.4300
187,6196,30.9800
188,6100,30.5000
189,6099,30.4950
190,6159,30.7950
191,6483,32.4150
192,6424,32.1200
193,6311,31.5550
194,6352,31.7600
195,6375,31.8750
196,6255,31.2750
197,6363,31.8150
198,6240,31.2000
199,6362,31.8100
200,6355,31.7750
201,6174,30.8700
202,6226,31.1300
203,6226,31.1300
204,6235,31.1750
205,6235,31.1750
206,6256,31.2800
207,6334,31.6700
208,6175,30.8750
209,6312,31.5600
210,6188,30.9400
211,6180,30.9000
212,6052,30.2600
213,6239,31.1950
214,6074,30.3700
215,6379,31.8950
216,6235,31.1750
217,6195,30.9750
218,6248,31.2400
219,6189,30.9450
220,6049,30.2450
221,6170,30.8500
222,6134,30.6700
223,6402,32.0100
224,6239,31.1950
225,6166,30.8300
226,6212,31.0600
227,6390,31.9500
228,6219,31.0950
229,6231,31.1550
230,6204,31.0200
231,6293,31.4650
232,6217,31.0850
233,6047,30.2350
234,6054,30.2700
235,6207,31.0350
236,6242,31.2100
237,6049,30.2450
238,6115,30.5750
239,6365,31.8250
240,6215,31.0750
241,6152,30.7600
242,6204,31.0200
243,6271,31.3550
244,6065,30.3250
245,6219,31.0950
246,6178,30.8900
247,6225,31.1250
248,6214,31.0700
249,6116,30.5800
250,6090,30.4500
251,6259,31.2950
252,6117,30.5850
253,6156,30.7800
254,6220,31.1000
255,6496,32.4800
256,6362,31.8100
257,6308,31.5400
258,6355,31.7750
259,6374,31.8700
260,6303,31.5150
261,6352,31.7600
262,6233,31.1650
263,6370,31.8500
264,6355,31.7750
265,6171,30.8550
266,6178,30.8900
267,6265,31.3250
268,6283,31.4150
269,6218,31.0900
270,6216,31.0800
271,6338,31.6900
272,6187,30.9350
273,6323,31.6150
274,6170,30.8500
275,6302,31.5100
276,6106,30.5300
277,6249,31.2450
278,6054,30.2700
279,6393,31.9650
280,6177,30.8850
281,6280,31.4000
282,6200,31.0000
283,6193,30.9650
284,6108,30.5400
285,6222,31.1100
286,6094,30.4700
287,6400,32.0000
288,6269,31.3450
289,6153,30.7650
290,6197,30.9850
291,6339,31.6950
292,6209,31.0450
293,6217,31.0850
294,6189,30.9450
295,6235,31.1750
296,6288,31.4400
297,6072,30.3600
298,6024,30.1200
299,6253,31.2650
300,6204,31.0200
301,6049,30.2450
302,6127,30.6350
303,6369,31.8450
304,6216,31.0800
305,6142,30.7100
306,6215,31.0750
307,6187,30.9350
308,6108,30.5400
309,6210,31.0500
310,6110,30.5500
311,6206,31.0300
312,6272,31.3600
313,6074,30.3700
314,6137,30.6850
315,6177,30.8850
316,6090,30.4500
317,6091,30.4550
318,6153,30.7650
319,6479,32.3950
320,6359,31.7950
321,6289,31.4450
322,6378,31.8900
323,6392,31.9600
324,6316,31.5800
325,6350,31.7500
326,6230,31.1500
327,6362,31.8100
328,6392,31.9600
329,6174,30.8700
330,6183,30.9150
331,6286,31.4300
332,6226,31.1300
333,6230,31.1500
334,6291,31.4550
335,6334,31.6700
336,6190,30.9500
337,6328,31.6400
338,6184,30.9200
339,6189,30.9450
340,6073,30.3650
341,6206,31.0300
342,6087,30.4350
343,6405,32.0250
344,6203,31.0150
345,6244,31.2200
346,6221,31.1050
347,6213,31.0650
348,6082,30.4100
349,6246,31.2300
350,6107,30.5350
351,6372,31.8600
352,6280,31.4000
353,6175,30.8750
354,6221,31.1050
355,6397,31.9850
356,6248,31.2400
357,6194,30.9700
358,6210,31.0500
359,6307,31.5350
360,6265,31.3250
361,6086,30.4300
362,6094,30.4700
363,6340,31.7000
364,6243,31.2150
365,6058,30.2900
366,6243,31.2150
367,6367,31.8350
368,6219,31.0950
369,6151,30.7550
370,6200,31.0000
371,6231,31.1550
372,6058,30.2900
373,6211,31.0550
374,6158,30.7900
375,6293,31.4650
376,6205,31.0250
377,6191,30.9550
378,6125,30.6250
379,6220,31.1000
380,6137,30.6850
381,6090,30.4500
382,6195,30.9750
383,6523,32.6150
384,6402,32.0100
385,6296,31.4800
386,6384,31.9200
387,6348,31.7400
388,6270,31.3500
389,6337,31.6850
390,6224,31.1200
391,6360,31.8000
392,6337,31.6850
393,6173,30.8650
394,6167,30.8350
395,6263,31.3150
396,6239,31.1950
397,6274,31.3700
398,6256,31.2800
399,6327,31.6350
400,6237,31.1850
401,6332,31.6600
402,6178,30.8900
403,6274,31.3700
404,6116,30.5800
405,6224,31.1200
406,6078,30.3900
407,6373,31.8650
408,6191,30.9550
409,6224,31.1200
410,6211,31.0550
411,6261,31.3050
412,6066,30.3300
413,6202,31.0100
414,6109,30.5450
415,6373,31.8650
416,6245,31.2250
417,6190,30.9500
418,6269,31.3450
419,6426,32.1300
420,6284,31.4200
421,6255,31.2750
422,6264,31.3200
423,6247,31.2350
424,6225,31.1250
425,6054,30.2700
426,6050,30.2500
427,6218,31.0900
428,6223,31.1150
429,6067,30.3350
430,6094,30.4700
431,6384,31.9200
432,6240,31.2000
433,6172,30.8600
434,6251,31.2550
435,6242,31.2100
436,6065,30.3250
437,6280,31.4000
438,6169,30.8450
439,6275,31.3750
440,6220,31.1000
441,6040,30.2000
442,6083,30.4150
443,6191,30.9550
444,6120,30.6000
445,6098,30.4900
446,6157,30.7850
447,6475,32.3750
448,6356,31.7800
449,6344,31.7200
450,6348,31.7400
451,6426,32.1300
452,6244,31.2200
453,6465,32.3250
454,6222,31.1100
455,6357,31.7850
456,6384,31.9200
457,6160,30.8000
458,6159,30.7950
459,6218,31.0900
460,6271,31.3550
461,6324,31.6200
462,6192,30.9600
463,6371,31.8550
464,6184,30.9200
465,6312,31.5600
466,6239,31.1950
467,6229,31.1450
468,6075,30.3750
469,6190,30.9500
470,6069,30.3450
471,6331,31.6550
472,6193,30.9650
473,6160,30.8000
474,6255,31.2750
475,6202,31.0100
476,6063,30.3150
477,6201,31.0050
478,6100,30.5000
479,6346,31.7300
480,6229,31.1450
481,6161,30.8050
482,6291,31.4550
483,6396,31.9800
484,6224,31.1200
485,6179,30.8950
486,6238,31.1900
487,6243,31.2150
488,6270,31.3500
489,6098,30.4900
490,6046,30.2300
491,6227,31.1350
